Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Company Name,Industry,Daily_Return,MA20,MA50,MA200,EMA20,EMA50,RSI14,EMA12,EMA26,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,Rolling_Volatility_20,Log_Return,Cumulative_Return,MA20_MA50_Ratio,EMA20_EMA50_Ratio,BB_Position,RSI_Momentum,Return_5D,Return_10D,Return_20D,Volume_MA20,Volume_Ratio,Volatility_50,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,Recommendation,Future_Return_20D,Return_Zscore
2009-01-05,ADANIPORTS,EQ,331.25,335.3,395.0,333.0,394.0,390.4,377.61,1478252,55819731104999.99,,228206.0,0.1544,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.1785660377358489,309.685,320.255,521.062,319.4365594579211,336.7267983016967,79.38331318016925,328.0549781750858,318.40758432988724,9.647393845198565,0.5633498448298357,9.08404400036873,309.685,364.7665863778295,254.60341362217048,110.16317275565905,0.04835501429943054,0.16429847723850532,-0.5945581057222973,0.9669950508188787,0.9486520261203443,1.2326858693424265,8.578518659621338,0.23642121931908155,0.21790672282015278,0.4443211246762855,259851.0,5.688844761036132,0.0453774758811959,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Strong Sell,-0.05596823770491799,5.862381472399267
2009-01-07,ADANIPORTS,EQ,395.2,400.0,406.9,347.1,353.0,352.05,386.79,626963,24250087980000.0,,200789.0,0.3203,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.10918522267206476,320.315,318.075,518.66525,329.0709704406111,339.5308507198669,62.86295005807201,340.48729206618566,326.1665846449651,14.320707421220561,5.510936603527632,8.809770817692929,320.315,381.29252907944897,259.337470920551,121.95505815889794,0.05572772157581145,-0.11561875490857053,-0.6343857098348737,1.0070423642222746,0.9691931373626904,0.7602188091177964,-13.182009548531404,0.08223178604365211,0.13692879056999852,0.32723845428840725,351265.9,1.7848672472904428,0.046802773813603184,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,0.06575770487146704,-3.61247962779019
2009-01-12,ADANIPORTS,EQ,338.0,343.0,382.3,343.0,364.2,369.85,370.89,839495,31136414110000.004,,232473.0,0.2769,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.09423076923076934,327.525,316.618,516.568,333.72408237882223,340.6621578540563,62.006819288845584,344.6808422485708,330.2140128986326,14.466829349938223,8.510204947091374,5.956624402846849,327.525,386.3088189336526,268.74118106634734,117.56763786730528,0.05930798518452201,0.09005162255085798,-0.6158998857617612,1.0344484520778983,0.9796335597738847,0.8600055318604842,5.436663386841133,0.11652830188679242,0.21083647078081524,0.30114335971855777,372865.5,2.251468693134656,0.04767576937596303,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,0.017845072326618805,3.0854520028286947
2009-01-14,ADANIPORTS,EQ,349.75,365.0,389.5,361.35,389.0,384.75,377.01,543230,20480523690000.0,,161180.0,0.2967,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.10007147962830598,335.45750000000004,317.222,515.17125,339.96461165250525,342.7335028864241,65.0501002004008,351.5052184146572,335.59363245767537,15.91158595698181,10.836782696347353,5.074803260634457,335.45750000000004,393.0074625040179,277.9075374959822,115.09992500803571,0.06405078869995552,0.09537515917339809,-0.6004257970713469,1.0574849789737157,0.9919211538685309,0.9282583155163533,6.264600315847595,-0.02644230769230771,0.20347200500469187,0.31224420190995916,415861.9,1.3062749917701044,0.047483138701903606,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,-0.045094217024041594,3.277770603500131
2009-04-06,ADANIPORTS,EQ,347.25,355.0,391.05,350.1,385.0,385.15,369.7,1576171,58270354650000.0,,608356.0,0.386,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.10914326853851675,320.46,344.39599999999996,421.76425,331.09498615741404,336.22272075577405,73.94158188382015,334.76959216763095,331.34548010331446,3.424112064316489,-4.3307209376247915,7.754833001941281,320.46,359.247282234791,281.672717765209,77.57456446958201,0.037360143771784086,0.10358788716452151,-0.6000103852944231,0.9304986120628579,0.9847489943962333,1.3339073566486574,8.47833699473793,0.24987830601979555,0.2254215717467387,0.226592356687898,874053.85,1.80328820701379,0.03365652375161107,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Strong Sell,0.047513955601713675,3.5764797724283177
2009-05-18,ADANIPORTS,EQ,471.75,499.9,566.0,499.9,530.0,523.35,545.76,12366,674892405000.0,,12116.0,0.9798,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.10937996820349771,410.73999999999995,363.033,403.69625,418.62975332802705,384.87266603692876,76.54485049833887,438.3656198551095,408.22352722923773,30.142092625871783,20.67756868704661,9.464523938825174,410.73999999999995,485.7643090429436,335.7156909570563,150.04861808588726,0.03782475251084008,0.1038012720522333,-0.45648561636722373,1.1314122958518922,1.087709755121605,1.2504900840575721,4.997295420423768,0.2971867641591277,0.2912657290895633,0.3765123619147819,557432.55,0.022183849866678935,0.038736425249214106,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,0.20435654915448542,3.584273644277834
2009-05-25,ADANIPORTS,EQ,546.3,551.2,615.7,550.0,603.0,599.8,591.6,1491325,88226576460000.0,,607082.0,0.4071,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.09793153944719024,453.575,385.968,405.605,473.17825570077093,415.7720918280712,87.43818001978238,506.82590176298845,455.5715176910705,51.25438407191797,36.872334477830684,14.382049594087285,453.575,592.626313890733,314.52368610926703,278.1026277814659,0.04254003656001009,0.0934279909132368,-0.37709004050264816,1.175162189611574,1.1380712294091113,1.0257951036511028,2.963852391420545,0.14607815037737648,0.486677407361507,0.5318605542076362,711639.95,2.0956173132213842,0.0386757181550695,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,0.030093364454818472,3.2073082328052354
2009-06-09,ADANIPORTS,EQ,622.25,621.1,684.5,610.0,684.5,680.2,653.27,838443,54772818560000.0,,353747.0,0.4219,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.09312977099236641,573.11,453.36300000000006,408.20675000000006,574.0997228721733,488.6490100622649,71.90548780487805,609.1532444637409,551.1357656363948,58.01747882734605,55.9112033053668,2.1062755219792564,573.11,702.1293074086656,444.09069259133446,258.0386148173311,0.0455901607891819,0.08904493132539369,-0.29359227334094906,1.2641305091063892,1.1748713515228857,0.9150154040929511,5.076834097174668,0.08139904610492854,0.1803904555314535,0.6665441626852875,757352.3,1.1070713061807562,0.04091498008247647,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,-0.23397530138194655,3.0491991455323166
2010-09-23,ADANIPORTS,EQ,837.0,170.55,170.55,163.25,166.0,165.6,167.86,854754,14348087625000.0,,340058.0,0.3978,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.8021505376344086,763.5674999999999,764.711,698.2477500000001,743.2089654455738,755.3430442074798,14.364970470679467,714.5245733492128,751.3077030840013,-36.78312973478853,1.510832503499378,-38.29396223828791,763.5674999999999,1049.9694080262054,477.16559197379433,572.8038160524111,0.1810307229491864,-1.620248828538316,-0.8280195243535151,0.9985046638534033,0.9839356715402903,-0.5439307198073665,-52.33863063735376,-0.7897543325080937,-0.7904725754412603,-0.7918682837931251,286359.8,2.9848952262154116,0.1148248940705422,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,0.050724637681159424,-26.429930009101106
2013-08-01,ADANIPORTS,EQ,125.25,126.5,148.4,125.2,140.8,140.95,136.64,6475235,88476389210000.0,67446.0,2322503.0,0.3587,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.12534930139720557,145.4725,148.864,142.01274999999998,143.71298054937105,146.93199749627038,39.9260628465804,141.31372831236274,144.8508819389362,-3.5371536265734562,-2.166750889509123,-1.370402737064333,145.4725,157.85523309710837,133.08976690289163,24.765466194216742,0.036708406094332735,0.11809347759514736,-0.8536192751064489,0.9772174602321582,0.9780917907484308,0.31738684163934267,20.671404461487235,-0.043434000678656326,-0.0587646076794659,-0.05339153794492957,1609711.0,4.022607163646145,0.026527343957262556,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,-0.07484923731819781,4.110100059976362
2013-08-02,ADANIPORTS,EQ,140.95,143.0,143.0,125.0,125.05,125.25,130.86,4117068,53875686465000.0,49272.0,1996499.0,0.4849000000000001,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.11138701667257889,144.315,148.236,142.03875,141.95460144943095,146.08172308465194,32.11895910780669,138.84238549507617,143.39896475827425,-4.556579263198074,-2.6447165642469135,-1.9118626989511607,144.315,159.5459276769869,129.0840723230131,30.461855353973817,0.04410300768665741,-0.11809347759514732,-0.869924187350711,0.9735489354812596,0.9717478576506837,-0.1258647012291366,-7.807103738773712,-0.12778551532033422,-0.14621676891615532,-0.15599730458221028,1765540.65,2.3319021286765618,0.030439353739094288,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,-0.026347305389221587,-3.684978675393069
2014-05-13,ADANIPORTS,EQ,204.6,210.05,227.7,210.0,223.75,224.5,221.69,21252250,471140495570000.0,164626.0,8509668.0,0.4004,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.09726295210166191,196.395,186.535,156.166,195.89139009555527,185.8911973986363,65.86687306501548,199.4560018948846,193.69498887422267,5.76101302066192,3.8981775543858435,1.8628354662760769,196.395,215.14226366014674,177.64773633985328,37.49452732029346,0.035117941352810614,0.092818853664783,-0.7668501402014738,1.052858712842094,1.053795945353313,1.2495760583915536,9.703851196228221,0.1662337662337663,0.16835805360395528,0.22376669392204973,6996914.65,3.0373744804790492,0.027424541976164275,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,0.09599109131403116,3.1852934822069403
2014-07-02,ADANIPORTS,EQ,244.2,245.95,279.4,245.9,270.25,271.25,269.25,29796852,802267303480000.0,169697.0,5551108.0,0.1863,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.11076986076986084,239.80750000000003,223.4,174.29575,238.3862526896953,224.3485355468648,70.05847953216374,242.3393533090414,235.61032281242208,6.729030496619316,5.147506794711066,1.5815237019082504,239.80750000000003,261.6623868437484,217.9526131562517,43.70977368749669,0.036740104476898766,0.10505334317806507,-0.7182988887734955,1.0734444941808416,1.062571021953019,1.2193471241649139,15.033353904023038,0.14379084967320255,0.17398831421770167,0.11236415829403334,5139783.5,5.7972971040511725,0.035630938511215154,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,-0.03944700460829487,3.630039000759012
