Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Company Name,Industry,Daily_Return,MA20,MA50,MA200,EMA20,EMA50,RSI14,EMA12,EMA26,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,Rolling_Volatility_20,Log_Return,Cumulative_Return,MA20_MA50_Ratio,EMA20_EMA50_Ratio,BB_Position,RSI_Momentum,Return_5D,Return_10D,Return_20D,Volume_MA20,Volume_Ratio,Volatility_50,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,Recommendation
2021-04-30,ONGC,EQ,104.05,104.15,112.7,103.3,108.2,108.15,109.79,81358264,893263183745000.1,248419.0,15306987.0,0.1881,Oil & Natural Gas Corporation Ltd.,ENERGY,0.03940413262854414,103.5975,107.59900000000002,87.99,104.49655558909659,104.24012842558471,58.63377609108162,104.28779275752997,104.72682580653809,-0.4390330490081169,-0.9542137760035395,0.5151807269954226,103.5975,107.63540917491434,99.55959082508565,8.075818349828694,0.023034461936472597,0.03864759955942451,-0.49332396345748863,0.9628109926672179,1.002459965920849,1.0637199603550491,9.921329739150309,0.05615234375,0.02901998097050429,0.04492753623188417,21630358.3,3.761299876387161,0.029698218947180232,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Sell
2021-04-30,SHREECEM,EQ,28444.35,28340.0,28432.35,27808.15,27900.0,27910.5,28113.3,32147,90375838600000.0,12546.0,11805.0,0.3672,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,-0.01876822637887665,29601.28,28424.395,24050.8615,28907.019971506415,28244.89462344918,24.62460179804161,28784.569540556207,28847.50254323747,-62.93300268126404,251.45025121772332,-314.3832538989874,29601.28,31935.805545484895,27266.754454515103,4669.051090969791,0.02259735738956789,-0.018946584711662134,430.0501930501911,1.0414040474740096,1.0234423019410925,0.1378750270541989,-14.285602080872671,-0.006966409666160245,-0.07902552020432008,-0.04069332810896931,72513.35,0.4433252635549178,0.021578192179054597,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Buy
2021-04-30,TATASTEEL,EQ,1031.35,1024.0,1052.6,1011.1,1025.6,1034.0,1031.95,28129738,2902853738550000.0,385840.0,3536863.0,0.1257,Tata Steel Ltd.,METALS,0.0025694478111213392,910.0775000000001,798.813,570.631,911.1890259756314,822.7311887848649,70.47467233439602,949.0771405441252,888.3422850259827,60.73485551814247,50.97206335739383,9.762792160748639,910.0775000000001,1024.9571691966325,795.1978308033677,229.7593383932649,0.02804597136117307,0.0025661524237711444,5.782551656280752,1.139287292520277,1.1075173013939272,1.0393578379299186,-3.736342517089099,0.11711322385479694,0.15119127143175226,0.2925,26628454.95,1.0563789019234855,0.03015611827854389,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Sell
2021-04-30,BAJAJFINSV,EQ,11176.55,11000.0,11225.0,10868.7,11021.0,11041.65,11081.78,835355,925722287420000.0,85986.0,129995.0,0.1556,Bajaj Finserv Ltd.,FINANCIAL SERVICES,-0.012069914240082968,9883.869999999999,9860.796999999999,7959.56475,10046.277385545074,9765.838218278852,69.90512824193017,10247.44648787054,9966.675520650362,280.77096722017814,118.47887081489986,162.29209640527827,9883.869999999999,10883.644988053444,8884.095011946554,1999.5499761068895,0.029581020910081537,-0.012143347139010503,20.688568061284734,1.0023398717162517,1.0287163437482838,1.0790202864817566,-3.7232439920801284,0.11344556881608203,0.1336745484973869,0.16199150736396772,608639.9,1.3724946392768531,0.025441592453796517,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Hold
2021-04-30,RELIANCE,EQ,2024.05,2008.5,2036.0,1987.55,1995.9,1994.5,2010.2,9150974,1839532117510000.0,288687.0,3902504.0,0.4265,Reliance Industries Ltd.,ENERGY,-0.014599441713396333,1963.3699999999997,2038.961,2051.0095,1976.5844148167846,2001.8836187353259,48.34123222748816,1969.9105429586914,1984.1704398020536,-14.259896843362185,-26.589383929308802,12.329487085946617,1963.3699999999997,2051.0560872356396,1875.6839127643598,175.37217447127978,0.014207460433594984,-0.014707062314079178,6.924116011124381,0.9629267062979624,0.9873623003446504,0.6775082055853645,-5.192101105845175,0.047338987055950854,0.025819060844519903,-0.017148770511999145,7924657.7,1.1547469110243083,0.017578282448474192,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Hold
2021-04-30,BAJFINANCE,EQ,5484.85,5350.0,5524.65,5327.7,5449.0,5451.9,5449.83,4124888,2247991949735000.0,233718.0,886610.0,0.2149,Bajaj Finance Ltd.,FINANCIAL SERVICES,-0.006007456904017605,4907.1075,5221.591,4370.11325,5006.166080458327,5078.223435881043,60.225622155514664,5023.92775793224,5025.307463945041,-1.3797060128008525,-106.77906205916784,105.39935604636699,4907.1075,5515.257013537501,4298.957986462499,1216.2990270750015,0.03645947856516652,-0.006025574269213194,106.42660098522113,0.9397724754773018,0.9858105189083287,0.9479100022879535,0.424175074915631,0.16798063327477597,0.16986030942214003,0.04974439448931833,3342799.1,1.2339622802937813,0.027673526048204517,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Hold
2021-04-30,NESTLEIND,EQ,16502.55,16500.0,16569.2,16255.0,16320.2,16309.25,16375.64,97783,160125932830000.0,24063.0,54977.0,0.5622,Nestle India Ltd.,CONSUMER GOODS,-0.011713341271500477,17019.9,16762.843999999997,16925.15975,16835.372943475253,16926.624187957812,23.799221937565136,16762.72272509434,16855.9011321775,-93.17840708315998,1.7978934946918024,-94.97630057785179,17019.9,17749.264074129736,16290.535925870267,1458.72814825947,0.012654604932947757,-0.011782482903398233,5.537690658008129,1.0153348679973402,0.9946090110190148,0.012829034767076244,-9.531661766274652,-0.019033785043637286,-0.033563151641566535,-0.049854354791727395,98988.5,0.9878218176858928,0.013862310707181571,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Buy
2021-04-30,TATAMOTORS,EQ,301.9,298.2,301.3,292.55,293.1,293.85,297.01,36121668,1072848726265000.0,227806.0,7898988.0,0.2187,Tata Motors Ltd.,AUTOMOBILE,-0.026664458429943583,302.5875,311.858,203.44774999999998,301.8345739963815,298.40525359571325,39.87915407854986,300.17992750086387,302.678236370882,-2.4983088700181497,-2.3801745657289843,-0.11813430428916538,302.5875,317.6245726084447,287.5504273915553,30.074145216889406,0.030394856130435376,-0.027026403654133557,0.3557093425605542,0.9702733295281826,1.0114921582624492,0.20946805181039552,-7.092098488185236,-0.0005102040816326037,-0.031795716639209104,-0.010772597205857548,60322493.95,0.5988092606041863,0.028650100466079107,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Sell
2021-04-30,SUNPHARMA,EQ,644.5,642.0,666.6,640.1,653.75,654.45,655.94,10874266,713285177650000.0,145185.0,2412903.0,0.2219,Sun Pharmaceutical Industries Ltd.,PHARMA,0.015438324282389448,630.7925,614.688,555.6575,631.8089630106074,617.1763923939545,68.83786316776013,638.739735945176,627.9088975841423,10.83083836103367,9.421276003382516,1.4095623576511542,630.7925,660.8739206509138,600.7110793490863,60.162841301827484,0.014221420281309816,0.015320365858486224,-0.6433612163156288,1.02619947030038,1.0237088955394014,0.893224446985708,7.514830816239076,0.025864095932283115,0.03347808922226614,0.094947297975573,8412724.5,1.2925974219172398,0.015019573289087042,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Buy
2021-04-30,NTPC,EQ,103.05,102.25,105.65,102.05,102.4,102.45,103.71,15321193,158895206995000.0,48217.0,4597153.0,0.3001,NTPC Ltd.,ENERGY,-0.005822416302765587,102.83250000000001,105.021,95.6485,102.86213360806525,103.13612891886456,43.511450381679396,102.3530458872187,103.16512762757282,-0.8120817403541167,-1.0277129067503772,0.21563116639626045,102.83250000000001,108.26943750868108,97.39556249131894,10.873875017362138,0.016794845049930705,-0.005839432651559216,0.35605559232296,0.979161310595024,0.9973433624698591,0.464823947361058,-0.3347034644744369,-0.0009751340809360798,0.010853478046374043,-0.04874651810584962,17256616.45,0.8878445577319417,0.020323311801516006,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Hold
