Avg_Return,Volatility,Sharpe,Sortino,Drawdown,Return_Score,Sharpe_Score,Sortino_Score,Drawdown_Score,Volatility_Score,Investment_Score,Rank
0.001517046265102644,0.024546579038629637,0.061802757228012345,0.09689924014992025,-0.7997340264764553,0.9826008180038688,1.0,1.0,0.28119027461443613,0.5480487058721415,0.8435035753801534,1
0.0007854946021877207,0.015261003053625247,0.05147070604911036,0.08057358934732807,-0.32401058258193394,0.5609015399793102,0.8560681190657587,0.8538978195596261,1.0,0.9999999999999999,0.8324751986054962,2
0.0010651985104949222,0.021720748703611892,0.04904059823305229,0.07287912291268146,-0.6133966466361306,0.7221354516401897,0.8222152100177985,0.7850381865183116,0.5627427659854249,0.685588658047378,0.740321480665507,3
0.001282335447779136,0.025256819460573263,0.05077184994654233,0.07139958676149386,-0.867894315452362,0.8473029474262879,0.8463326201214263,0.7717974612116949,0.17820128126174528,0.5134795980044418,0.6943878928143151,4
0.0009879224531207178,0.02095479834293633,0.04714540493078701,0.07229149581640759,-0.7777968501909626,0.6775900568919365,0.7958139919047842,0.7797793701262675,0.31433696070671546,0.7228693024903363,0.6886445258364303,5
0.0015472298608210314,0.03065349715212238,0.05047482357861751,0.06051290398740672,-0.9328201662380522,1.0,0.8421948585983529,0.6743699154256342,0.08009946691426117,0.2508103278778011,0.6583468892608337,6
0.0008271662472550742,0.021344534082661303,0.03875307111655353,0.0451814589282863,-0.5991511318242344,0.5849229502635519,0.6789035768869764,0.5371651215999795,0.5842674873783558,0.7038999275995339,0.612977059385505,7
0.0013771425356264547,0.030262312933073295,0.0455068500108395,0.056502866921456035,-0.9382370796620407,0.9019540165490365,0.7729879056264191,0.6384831280585364,0.07191460635986324,0.2698502037376447,0.6096801683401111,8
0.0012215889342959243,0.03194152830903119,0.03824453615610279,0.05109091299867712,-0.8510664590593411,0.8122859251474955,0.6718193694908733,0.5900502491416795,0.2036278751955456,0.18811875665141287,0.5608716151066541,9
0.001177503256473164,0.03054144700839893,0.038554272040527394,0.048506604551999795,-0.8501742160278746,0.7868729578185656,0.6761341824613217,0.5669226505206136,0.2049760386645878,0.25626407760154546,0.5583183224921058,10
