Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Company Name,Industry,Daily_Return,MA20,MA50,MA200,EMA20,EMA50,RSI14,EMA12,EMA26,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,Rolling_Volatility_20,Log_Return,Cumulative_Return,MA20_MA50_Ratio,EMA20_EMA50_Ratio,BB_Position,RSI_Momentum,Return_5D,Return_10D,Return_20D,Volume_MA20,Volume_Ratio,Volatility_50,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,Recommendation,Future_Return_20D,Return_Zscore,Volume_Zscore
2016-05-05,ADANIPORTS,EQ,208.25,209.65,210.7,196.7,197.9,198.0,200.51,17225029,345378597815000.0,220399.0,7815160.0,0.4537,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.049219687875150075,227.88000000000002,226.28599999999997,271.91325,227.47242394344647,228.69202733292246,27.694235588972447,225.02344067879181,227.96184821452397,-2.9384075357321535,0.40301417853444066,-3.3414217142665943,227.88000000000002,248.6560337637604,207.10396623623964,41.55206752752076,0.03778025634674814,-0.05047225035241685,-0.7943711704226808,1.0070441830250216,0.9946670489404489,-0.21909779170939941,-8.270676691729307,-0.15905712465491606,-0.13669064748201432,-0.1836734693877552,5502141.1,3.1306047385807685,0.02954449138493546,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,0.036363636363636376,-1.6379787613337984,3.4770167775411793
2016-05-06,ADANIPORTS,EQ,198.0,198.0,199.5,190.55,193.9,194.55,194.84,15642446,304784157690000.0,220349.0,7099348.0,0.4539,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.017424242424242342,226.29500000000002,225.96900000000002,271.279,224.3369549964516,227.35312430025883,26.562500000000014,220.33521903590076,225.48689649492962,-5.1516774590288605,-0.7079241489782195,-4.443753310050641,226.29500000000002,251.87580900752047,200.71419099247956,51.161618015040915,0.035331639496268476,-0.01757783126397257,-0.7979540969986493,1.00144267576526,0.9867335480297871,-0.12048467643590449,-1.1317355889724325,-0.183249370277078,-0.15449804432855274,-0.14011049723756897,6042438.2,2.588763919836201,0.029610074593482104,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,0.05140066820868672,-0.5910418032160768,3.0914184377062703
2016-05-13,ADANIPORTS,EQ,195.15,194.6,200.25,179.4,188.8,188.55,193.31,15272242,295235070705000.0,125916.0,7334006.0,0.4802,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.03382013835511144,218.54250000000002,224.967,268.01625,212.10899709134492,221.2109292106379,25.100748416810603,204.89232320822333,215.22318718654302,-10.330863978319684,-6.320304468911251,-4.0105595094084325,218.54250000000002,257.16524043815366,179.91975956184635,77.24548087630731,0.032834558153668376,-0.03440526992225784,-0.8041852736525075,0.9714424782301404,0.9588540577458265,0.1117248587263404,-3.5752735478019844,-0.030840400925212008,-0.2084382871536523,-0.19285102739726023,7319102.25,2.0866277691365767,0.02988294968897307,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,0.07531158843807995,-1.1309137618581522,3.0012177671567684
2016-08-10,ADANIPORTS,EQ,239.75,244.5,261.25,244.15,257.6,258.45,254.87,19509517,497243612240000.0,151363.0,5137091.0,0.2633,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.07799791449426485,227.98000000000002,215.387,230.37399999999997,229.33746925096543,219.90488869820805,76.48384673178062,234.54701945072725,226.4201808743721,8.12683857635514,5.977561809479917,2.1492767668752233,227.98000000000002,247.18513637450798,208.77486362549206,38.41027274901592,0.02244679259307052,0.07510553787850072,-0.7315920656350599,1.0584668526884167,1.042893910219988,1.2932773661645145,8.004491243361699,0.1597487098945478,0.1300830782684741,0.18936953520478594,4755513.1,4.1025051534397,0.020660166558186203,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,0.053201779841361985,2.550948544286406,4.033635154064099
2016-10-25,ADANIPORTS,EQ,285.65,286.65,317.0,280.55,310.65,312.8,303.43,20614093,625496862900000.0,147420.0,2834741.0,0.1375,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.09504638543672339,268.915,268.13,229.515,273.3907368448165,262.9985790603985,75.47468354430377,278.17339586548457,271.1625714850175,7.0108243804670565,2.6264640914870143,4.384360288980043,268.915,298.01274995831795,239.8172500416821,58.19549991663587,0.03506489372457357,0.09079672350068459,-0.675147990445528,1.002927684332227,1.0395141214129198,1.2540961081675484,6.31022731088207,0.1715355805243446,0.17219411654487526,0.1370410759723737,5280300.2,3.903962316384966,0.029310733228439516,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,-0.15696930946291565,3.1123080112142816,4.30276648671552
2019-02-13,ADANIPORTS,EQ,326.8,328.15,349.45,328.15,342.55,341.65,340.31,17852712,607538134810000.0,118253.0,7372856.0,0.413,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.045440636474908036,353.905,366.939,366.44300000000004,347.6319737813361,357.77932368372456,34.72006220839813,339.87691852715056,351.637245243237,-11.76032671608641,-10.40666252294365,-1.3536641931427607,353.905,408.26443630864617,299.5455636913538,108.71887261729239,0.03709173402757913,0.04443845824093932,-0.6451864160348932,0.9644791096067737,0.971637964435981,0.3872780805671198,9.46582492026252,0.03420614499772956,0.010350436196953972,-0.12239917801181621,5814761.25,3.070239900219463,0.02795820949321006,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Sell,0.07127176935460278,1.4789265256986692,3.6299525305112255
2019-02-25,ADANIPORTS,EQ,354.3,329.0,339.55,320.6,325.5,324.55,327.58,21795407,713973842265000.0,225417.0,5281072.0,0.2423,Adani Ports and Special Economic Zone Ltd.,SERVICES,-0.08396838837143661,340.3425,363.625,364.12825,346.8092166210797,354.7281043214822,42.24707676664971,344.0214582423556,349.2017845380824,-5.180326295726786,-6.5452601026819375,1.3649338069551513,340.3425,359.72380610460175,320.9611938953982,38.76261220920355,0.031941642263702,-0.0877044043919487,-0.6629452694983891,0.935971124097628,0.9776761761926093,0.09258421711191361,-20.57079264915788,-0.06550532680679533,-0.012925790754257926,-0.004753143207605115,6620494.85,3.292111465051589,0.02939634473457679,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,0.12863965490679408,-2.782158321651529,4.590595129651616
2019-05-23,ADANIPORTS,EQ,385.95,398.95,430.6,392.15,408.5,407.55,411.79,23021274,947986196035000.0,247483.0,7368903.0,0.3201,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.05596579867858531,381.065,377.28600000000006,362.2935,381.6805607609941,375.95407567708025,57.22419928825622,383.70760152677326,380.57829132582185,3.1293102009514087,0.5569922193341793,2.5723179816172292,381.065,408.1501308985835,353.9798691014165,54.17026179716697,0.029822433936009536,0.05445579714460357,-0.5767473257866846,1.0100162741262595,1.0152318739292843,0.988921395638984,10.906751474156195,0.09703903095558553,0.1199505358615005,0.042594013814274856,4263797.2,5.39924225289139,0.021519770489875866,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,-0.013617960986382016,1.8254912976320317,4.889279167113411
2019-05-28,ADANIPORTS,EQ,412.4,420.0,426.8,408.7,412.0,412.65,414.83,18296760,759012065640000.0,166871.0,7993630.0,0.4369,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.0006062075654704735,384.1925,380.90200000000004,362.54400000000004,389.5043695345707,380.0078555708801,66.71868903628557,394.8190339700206,387.0208810631492,7.798152906871394,3.543749800413533,4.254403106457861,384.1925,419.2110556076488,349.1739443923512,70.03711121529761,0.029759294564503786,0.0006060238958884349,-0.5714508256309052,1.008638704968732,1.02499030960669,0.9063202994269737,1.1417659593625018,0.06462848297213619,0.11361489677506409,0.053350350989151085,5470755.45,3.344466804854163,0.02098113550247445,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Buy,0.0055737307645704615,0.0026515449356072323,3.7381453846029298
2019-11-29,ADANIPORTS,EQ,372.6,372.0,384.95,370.8,381.0,382.05,379.84,30111277,1143740998225000.0,136495.0,13250688.0,0.4401,Adani Ports and Special Economic Zone Ltd.,SERVICES,0.0253623188405796,377.255,391.55,382.20899999999995,378.23276300018864,384.3058697300655,46.2177121771218,375.0994378541005,380.3112770687235,-5.211839214623012,-6.293841474581562,1.08200225995855,377.255,397.19480150890263,357.31519849109736,39.879603017805266,0.013691223635194785,0.025046031926087516,-0.6032298265655822,0.9634912527135742,0.9841972053818938,0.6202369040097808,14.413430831556,0.028536815183739517,0.0429975429975431,-0.03473976755937347,4390906.1,6.857645395787444,0.020482181799128626,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hold,-0.04214108101033898,0.8178025033709652,6.616767321747021
