Avg_Return,Volatility,Sharpe,Sortino,Drawdown
0.0005256802216729012,0.03036997137637823,0.017309210310345415,0.01991448628695895,-0.917396458755593
0.0008044570589420454,0.022355031683062042,0.035985502966277,0.03471167880333735,-0.9248048186299899
0.001177503256473164,0.03054144700839893,0.038554272040527394,0.048506604551999795,-0.8501742160278746
0.0008271662472550742,0.021344534082661303,0.03875307111655353,0.0451814589282863,-0.5991511318242344
0.001282335447779136,0.025256819460573263,0.05077184994654233,0.07139958676149386,-0.867894315452362
0.0015472298608210314,0.03065349715212238,0.05047482357861751,0.06051290398740672,-0.9328201662380522
0.0008502083869707913,0.025191281076789872,0.03375010522010076,0.04809003399130392,-0.7847465908586151
0.0004880776672416861,0.02949108581890506,0.01655000667790968,0.01953570342743118,-0.7730521485926056
0.000597993797571084,0.02114622464085074,0.02827898633100996,0.029105844909553622,-0.8536304097130051
0.00032450754038140925,0.0243825665272633,0.01330899846078804,0.013844038531374805,-0.8907353693908889
-0.00018754110284260528,0.018788764877179412,-0.009981555683332343,-0.014842081939758422,-0.7506765899864682
0.0005283211648322405,0.023246418985256357,0.0227269914203697,0.025966064398657614,-0.813079441237474
0.0013771425356264547,0.030262312933073295,0.0455068500108395,0.056502866921456035,-0.9382370796620407
0.0004823709054275465,0.02539265020438439,0.01899647738794348,0.02276799928839344,-0.8723325974981604
0.000620010662195659,0.024919396814655506,0.024880644856982277,0.027973990148067604,-0.9243109286619625
0.00048082472969459926,0.03252199740957942,0.014784600208871897,0.0165592523034879,-0.9681818987992835
0.0008381460152846863,0.02609280117249823,0.032121733873789325,0.03585212730641149,-0.8147414430136943
0.0007895477821635296,0.023969271604075162,0.032939998978913226,0.03469925395820748,-0.8417647517343518
0.0005460879278250659,0.024453675364156442,0.022331527661707137,0.02633562835156415,-0.9098984281466034
0.00046053906591458704,0.029651690455313066,0.015531629355454386,0.018354537411461286,-0.9746027434469645
0.0004394659191027611,0.02253376066253325,0.0195025555513891,0.020855348299108407,-0.9662077198567449
0.0009318022290488051,0.029978656982739365,0.031082187223573872,0.03873848469979863,-0.897998996711443
0.0012215889342959243,0.03194152830903119,0.03824453615610279,0.05109091299867712,-0.8510664590593411
0.00011923645200126623,0.030042043332368974,0.003968986086668553,0.0038162554674570806,-0.9687676125273643
0.000189540846725924,0.026518387237308125,0.00714752541433829,0.007960433659151622,-0.9099943392666205
0.0003220559174819495,0.02464646943589279,0.013067020342188956,0.012793252585611798,-0.9404927581052523
0.0009434799659862791,0.03295939564954678,0.028625523842068772,0.033698181389673024,-0.9244584038012402
0.0010300221527546809,0.03272460676993447,0.03147546309711527,0.03408636725470829,-0.889451305932375
0.000550307030705604,0.025787309699706443,0.02134022653444413,0.024044842647095038,-0.8752856857567621
0.0005207699750514645,0.027837061973802063,0.018707792350412915,0.02174923151322302,-0.9207708779443254
0.0010651985104949222,0.021720748703611892,0.04904059823305229,0.07287912291268146,-0.6133966466361306
0.0007854946021877207,0.015261003053625247,0.05147070604911036,0.08057358934732807,-0.32401058258193394
0.00025566527696253285,0.019019449471363418,0.01344230690522744,0.019385333138704226,-0.7316002107851747
0.00029434814653220217,0.026256146301545717,0.01121063781225479,0.012735583808507178,-0.9595741813771729
0.00040858745523740265,0.018716715319720426,0.02183008333769463,0.03043241954567914,-0.6412001237240953
0.0007072633052105408,0.024033912331194857,0.029427722605634508,0.033930720577557597,-0.7900864678578636
0.0006137557648300293,0.02684130344106647,0.02286609389807052,0.02624586141494473,-0.9567758850413329
0.001517046265102644,0.024546579038629637,0.061802757228012345,0.09689924014992025,-0.7997340264764553
0.0003992736933780833,0.02912308439381198,0.01370986973697471,0.013314615435484038,-0.9070559610705596
0.0006270709842445825,0.030745727671895914,0.020395386017088034,0.025497416465752314,-0.95216642859759
0.0007530729557660719,0.027838744106983032,0.02705125464252434,0.03769118772232729,-0.8495297805642633
0.0006038481582375971,0.023745249205113735,0.025430272515630344,0.026077164895080416,-0.8205949992660371
0.0006411378108677649,0.027986112773320197,0.02290914126091053,0.026026294063225163,-0.8943356219709209
0.001206412952640827,0.03149502483794667,0.03830487382843034,0.046679672423799744,-0.9668688754083061
0.0009879224531207178,0.02095479834293633,0.04714540493078701,0.07229149581640759,-0.7777968501909626
0.0005895748676554265,0.03005165466152666,0.0196187156512957,0.02200045632691603,-0.9253084865273231
0.0010914854701222474,0.035806526665683916,0.030482863649779802,0.03752102441368357,-0.9858316836241425
0.00021774560797241775,0.030610387107387543,0.007113454893873812,0.00762217962155759,-0.9830664045184069
0.00021612254895904062,0.033125042228838275,0.006524445990619352,0.008567167274330613,-0.9595900629175586
