Portfolio,Return,Volatility,Sharpe
Conservative,0.1421916341284994,0.20442881985517822,0.695555715819477
Balanced,0.1697308766123993,0.2223349921943523,0.7634015452863598
Aggressive,0.1768740647873479,0.23313973723115414,0.758661165565183
